title:6, start timestamp:1613957145.477284, stop timestamp:1613957147.879199, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s04, channels:75, sampling rate:128, samples:311       , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.AF3,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO3,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO4,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.AF4,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.AF3,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO3,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO4,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.AF4,CQ.Fp2,CQ.Overall
1613957145.477284,55.000000,0.000000,-14.103914,-3.799167,-42.262947,-15.372378,-28.401070,-13.089008,-22.763199,-11.540095,-16.924675,-19.399454,-2.880978,19.630920,3.265084,-6.067083,-6.305245,2.388633,-3.232045,10.588377,24.239344,1.799694,-8.035090,8.934492,-0.521781,-8.066442,-4.191426,-4.658614,-5.974256,-1.962722,-9.832999,-14.572424,-22.953527,-51.515598,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.485133,56.000000,0.000000,-12.038528,-5.846650,-39.143761,-14.844185,-20.167540,-13.075919,-23.253256,-11.015735,-13.830827,-20.918516,-2.365277,5.252315,3.774639,-4.522554,-3.734837,-2.741960,-7.844198,-8.909390,13.958694,-2.304670,-5.975773,7.899916,-1.034079,-12.673759,-4.187234,-5.679596,-6.481102,-8.627425,-10.335987,-14.557852,-23.443396,-50.951263,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.492882,57.000000,0.000000,-8.436747,-7.892086,-37.053333,-15.854982,-11.942245,-12.550023,-22.717182,-11.004719,-13.304175,-19.359137,-2.875732,-20.393963,3.770864,-1.953929,-6.808025,-7.867424,-9.374815,-25.310738,-5.542444,-13.071596,-5.969797,4.815093,-4.622789,-10.096983,-7.259970,-8.238019,-6.987442,-16.311106,-9.812830,-14.543294,-23.419952,-52.438774,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.500731,58.000000,0.000000,-10.479591,-7.371373,-37.529102,-13.787845,-14.494405,-13.050293,-22.694464,-10.993714,-11.752410,-14.724393,-1.847215,-12.681261,3.254273,-1.951975,-8.852499,-7.346735,-8.339800,-10.413631,-3.998441,-13.058524,-4.425366,4.810278,-3.079705,-8.035604,-8.278351,-8.742601,-5.954813,-10.140948,-10.315838,-12.477468,-23.396532,-53.924797,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.508480,59.000000,0.000000,-6.879368,-6.851181,-33.389008,-8.645852,-15.505551,-13.037243,-22.671770,-10.982720,-10.202195,-12.145566,-0.306907,0.664753,3.251019,-2.975664,-4.741083,-5.288106,-5.254537,8.571140,10.364532,-4.840338,-0.318376,7.882391,2.051580,-10.078851,-8.270073,-8.733859,-6.974499,-3.976961,-10.305522,-11.439350,-23.373135,-52.332409,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.516129,60.000000,0.000000,12.101870,-8.895612,-29.253056,-8.637206,-13.951584,-13.024206,-20.084995,-10.971738,-9.166352,-11.620600,1.744682,-24.464117,3.247768,-0.921407,-1.659419,-4.769998,1.930205,7.024108,9.328526,-2.271395,1.220404,8.900149,1.023888,-9.043131,-10.313085,-8.725125,-6.967525,-6.024266,-10.295217,-11.427911,-23.349762,-52.792900,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.523878,61.000000,0.000000,19.269255,-5.809793,-29.736622,-11.192672,-12.911992,-13.011182,-13.911064,-8.909484,-7.105904,-8.019236,3.281399,-45.978115,3.244520,1.643617,-1.657759,-4.252408,8.594941,8.555546,0.601250,-3.807585,1.732004,8.378428,-0.515598,-6.469985,-10.302772,-8.716400,-2.345173,-6.018242,-10.284922,-10.390841,-23.326412,-52.740105,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.531727,62.000000,0.000000,6.429473,-0.675778,-29.706886,-11.694300,-11.873439,-12.485350,-11.845871,-6.849292,-7.611619,-3.908652,5.329400,-23.880854,3.241276,1.641974,-2.168922,-3.735335,10.637629,12.136734,-0.424993,-4.829418,-2.885113,8.370050,1.536200,-4.925054,-8.241187,-8.707684,3.811018,-4.986583,-9.761816,-7.816348,-23.303085,-50.636086,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.539476,63.000000,0.000000,1.294838,-3.752026,-29.677179,-11.169785,-13.912848,-12.985685,-14.398129,-6.842443,-9.655289,-4.417564,4.811250,-5.395434,3.238034,1.127511,-3.192394,-4.757240,9.601350,-0.695916,1.626714,-6.875871,-11.087356,8.361680,2.560305,-4.920128,-7.720125,-8.698976,5.345669,-6.007237,-10.264874,-7.295711,-22.766962,-50.585449,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,50.000000
1613957145.547126,64.000000,0.000000,5.908928,-5.799556,-29.647501,-10.645794,-13.898934,-12.459879,-15.409371,-7.348421,-7.594352,-4.925967,4.806439,-17.184910,3.234796,1.639204,-5.753304,-3.214021,10.104569,-8.900349,0.599447,-5.330534,-14.666012,8.353318,3.583385,-6.966490,-8.225225,-8.690277,4.314682,-3.949948,-9.741789,-6.262774,-22.231375,-49.509220,0.000000,164.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
