title:04, start timestamp:1614488460.471089, stop timestamp:1614488461.687795, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s14, channels:75, sampling rate:128, samples:158       , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall
1614488460.471089,32.000000,0.000000,-4.672195,1.649261,-201.315811,-43.028313,-14.955513,-12.953007,-18.855780,-14.800106,-165.166763,-9.682356,39.054226,-37.720768,-8.053443,-24.357199,-31.720018,74.176331,18.725080,305.294617,84.286880,-39.828251,-58.878796,-14.298532,-38.926792,43.914646,-7.242668,-124.472015,-25.078096,-8.903058,-16.190563,73.038170,-44.438099,-169.415298,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.478938,33.000000,0.000000,-4.667523,1.647612,-192.909363,-33.241695,-14.427737,-12.940053,-5.503591,-9.144280,-154.232376,-10.698315,46.194660,-33.580482,1.698200,-11.512329,-27.072914,75.127792,29.475586,304.989319,90.356438,-31.583294,-40.871201,0.074741,-42.990429,56.691246,-2.107220,-123.321907,-29.155582,-8.894156,-15.661553,73.990768,-43.880840,-154.886902,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.486687,34.000000,0.000000,-4.662856,0.107503,-199.895950,-32.182812,-14.926130,-12.927114,-8.062190,-20.417187,-147.924286,-1.969668,44.610004,-27.393055,11.952912,-5.346971,-28.071482,73.514206,40.728161,303.145874,100.522491,-21.295301,-12.625199,20.074665,-32.691029,76.634552,0.458989,-122.685760,-30.152067,-6.321158,-15.645891,72.378319,-43.324139,-154.732010,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.494536,35.000000,0.000000,-5.171013,-2.456707,-220.208878,-51.637810,-14.911204,-12.914186,-13.182333,-27.063437,-161.109695,-6.070262,45.078217,-24.801559,15.530703,-5.341624,-28.556232,74.979156,45.302818,305.406830,108.627098,-15.632980,-2.868984,16.464848,-24.453211,85.275871,-0.054290,-133.332306,-32.173199,-4.776376,-17.681528,66.152092,-48.409019,-175.090103,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.502285,36.000000,0.000000,-4.140201,-2.967071,-228.193787,-59.278477,-14.383472,-12.901272,-12.143509,-19.344067,-173.769104,-18.371883,46.571598,-25.289579,13.976710,-4.310641,-27.502035,75.929817,45.770336,311.255280,121.851799,-11.001963,-3.891757,10.807357,-24.428757,83.652130,-0.054236,-140.378464,-38.294872,-5.284420,-19.202307,61.470558,-55.540096,-185.684250,7936.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.510134,37.000000,0.000000,-2.084779,-2.451283,-223.350220,-51.526894,-14.369089,-12.888371,-11.105724,-18.811901,-172.056870,-15.789410,46.012207,-22.700186,15.501195,-1.229407,-26.961712,77.392349,50.339951,318.636322,137.627380,-3.811473,2.778802,27.206806,-24.404329,90.235146,0.458639,-130.494492,-41.846321,-5.279135,-17.131823,61.409088,-53.433273,-178.831894,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.517883,38.000000,0.000000,-0.544232,-2.961653,-220.562759,-49.424084,-14.867540,-12.875483,-10.581799,-24.434114,-170.346359,-5.517210,53.145679,-20.626204,17.536976,-0.202537,-27.447571,88.084183,55.417816,329.599731,144.669250,4.397467,12.006792,42.564217,-20.277361,106.555168,0.458180,-122.158875,-41.291653,-4.761036,-15.576230,60.834858,-46.713177,-176.601776,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.525732,39.000000,0.000000,-1.056509,-2.445870,-213.675537,-51.938763,-10.237288,-12.862607,-8.007114,-19.281475,-173.765747,-3.460411,65.913048,-21.631220,18.545080,-1.227975,-28.445765,100.816612,57.413681,341.065002,144.524582,7.982812,13.533247,34.316521,-16.154518,113.115280,-0.055098,-123.575172,-40.737541,-5.269095,-16.073475,62.312485,-44.102360,-178.476456,7936.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.533481,40.000000,0.000000,-1.055452,0.120678,-205.769547,-52.399643,-5.611666,-12.849745,-9.024748,-17.210913,-175.643265,-4.995412,67.898415,-21.609589,18.526535,-3.278029,-27.391678,99.690155,54.279343,337.134216,131.046722,-5.871324,4.801765,23.000154,-12.548621,101.207291,-1.593505,-122.425957,-41.209621,-5.263826,-16.057402,66.352737,-43.032616,-177.272339,8192.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614488460.541330,41.000000,0.000000,-1.054397,1.659019,-210.179169,-48.757500,-11.247080,-12.836895,-11.579825,-25.911650,-174.954803,-2.939135,59.112572,-21.075157,16.456726,-3.787572,-25.825825,80.616104,42.943012,312.181671,102.197723,-29.968018,-16.228678,24.002796,-13.561713,74.952240,-3.643193,-123.841995,-41.681232,-5.258562,-15.528522,64.747925,-46.066505,-177.095078,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
