title:09, start timestamp:1614488856.282571, stop timestamp:1614488902.133182, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s14, channels:75, sampling rate:128, samples:5918      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.FT9,EEG.T7,EEG.TP9,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.TP10,EEG.T8,EEG.FT10,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.FT9,CQ.T7,CQ.TP9,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.TP10,CQ.T8,CQ.FT10,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.Fp2,CQ.Overall
1614488856.282571,34.000000,0.000000,-3.517210,2.120486,-2.968804,3.087059,-3.910180,-8.554078,-4.847836,0.641503,-14.406466,-5.734814,13.529952,-6.736456,-14.643552,16.464739,20.352558,9.176763,5.779847,28.211220,34.333466,27.965986,12.780037,-3.789971,17.449495,5.274597,24.539059,-17.428387,23.402285,1.019692,-2.556531,9.103668,9.331538,-9.009116,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.290220,35.000000,0.000000,-8.641897,2.118365,-3.478656,2.058331,-3.393449,-8.545524,-4.842988,3.204964,-15.417701,-5.729079,14.029243,-6.729720,-14.628908,13.884171,19.306564,11.218868,2.697144,27.670189,29.683748,20.758533,11.741616,-1.222079,23.585892,5.782143,21.437597,-15.872497,13.635292,1.018673,-2.553975,3.453539,8.296566,-3.871902,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.297969,36.000000,0.000000,-15.299922,2.116247,-4.500819,1.030631,-4.415697,-8.536978,-4.838145,2.176118,-14.376642,-6.236171,14.015214,-6.210170,-14.614280,14.383107,19.287258,14.284573,-1.920937,29.693800,19.910475,12.019826,9.678592,-2.246498,10.228972,2.699438,16.800774,-15.856625,5.929349,1.017654,-2.551421,-2.190940,1.621603,-5.919312,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.305619,37.000000,0.000000,-16.310263,2.114130,1.657529,12.311652,-3.898460,-9.041262,-4.833306,2.173942,-4.105855,-4.691473,12.462737,-6.716780,-14.599666,15.907186,12.088484,12.219006,-4.483119,27.100004,20.403385,8.418063,5.566350,-1.731431,-0.550488,0.645456,15.758332,-11.225383,5.923420,1.016636,-2.548870,0.375353,4.184083,-0.785188,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.313368,38.000000,0.000000,-15.781133,2.112016,18.578947,23.581392,2.772105,-8.519400,-4.828473,4.223050,3.590558,-0.584217,9.373351,-5.684422,-14.585066,13.839996,7.461010,9.129864,-6.017097,20.919058,17.818878,6.871183,-1.105884,-1.729699,5.603909,-4.483395,15.742574,-7.624414,5.917497,1.015620,-2.546321,4.990363,14.949130,11.523290,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.321017,39.000000,0.000000,-15.765351,2.109904,22.662933,26.121912,8.410358,-4.921137,-5.336465,6.270109,4.099788,3.006110,9.363977,-1.576174,-15.083302,13.826157,11.043293,9.120734,-6.523901,23.975061,15.749778,5.838671,-3.668880,-2.240790,9.188048,-6.530193,15.726831,-7.103969,4.885938,1.014604,-2.543774,11.652039,19.036745,19.716894,8192.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.328766,40.000000,0.000000,-9.082920,3.133435,8.794116,26.608612,7.889128,-1.326472,-4.305488,6.776659,8.198253,3.003104,10.380255,1.502326,-13.529757,14.837972,7.955327,8.085972,-3.440454,29.592112,18.298130,6.345653,-1.613929,-2.238549,7.127579,-4.985201,16.223925,-4.532763,5.393873,1.526410,-2.541231,23.948078,17.479246,19.697178,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.336415,41.000000,0.000000,-3.432811,1.079020,2.631476,19.402515,7.368418,-0.812325,-2.249900,5.744242,6.651593,-1.615283,3.703208,0.475182,-10.952124,10.720570,-2.309039,0.385578,-1.898552,21.870213,13.664448,6.852128,-2.637956,-2.236311,13.274297,-7.031498,15.694880,-4.528230,5.901299,1.012063,-2.538689,24.949772,17.974588,7.369788,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.344264,42.000000,0.000000,-4.455019,-0.973341,5.192947,0.408754,8.899511,-1.324333,-1.734830,6.764138,-15.406341,-6.229053,-6.556906,-0.038113,-11.453992,3.017541,-4.358012,-5.768653,-2.922294,10.566291,4.932834,5.819634,-2.635319,-2.746895,15.825126,-8.562928,16.192007,-6.574984,5.895398,1.011051,-2.536151,10.053027,17.956614,-11.099120,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614488856.352013,43.000000,0.000000,-4.450564,-0.972368,-4.043015,-7.283963,4.275227,-0.297368,-1.220274,7.270195,-27.185806,-5.197183,-8.088810,1.500386,-9.904077,3.527344,0.261731,-6.275705,-1.893731,11.581366,4.927902,7.865097,2.495522,-1.718507,9.655455,-4.451801,17.201456,-7.594049,6.402323,1.522860,-2.533615,-1.751897,12.810452,-16.729046,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
