title:1, start timestamp:1614943978.885334, stop timestamp:1614944024.557358, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:£±£·, channels:75, sampling rate:128, samples:5895      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.AF3,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO3,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO4,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.AF4,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.AF3,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO3,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO4,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.AF4,CQ.Fp2,CQ.Overall
1614943978.885334,96.000000,0.000000,14.029043,52.543438,65.677132,50.905865,59.239075,60.633820,55.544964,49.828983,43.727444,37.625782,22.548443,13.675174,3.790555,-33.065479,-21.778784,-30.814650,15.391514,24.744560,-16.924463,-56.368961,-21.915316,-56.906456,-26.624392,13.925213,53.648804,44.796318,48.334614,41.240940,76.235603,-8.727112,83.791954,76.759064,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.892983,97.000000,0.000000,11.963732,52.490894,60.483250,49.316494,58.154194,60.060368,56.515060,50.804794,45.734997,36.562515,27.654099,16.738422,10.966251,-31.493954,-22.782646,-32.322296,19.478685,26.258276,-19.471642,-62.979259,-25.995964,-57.875191,-25.572126,7.244621,51.543873,45.264343,48.799099,41.199699,74.620903,-9.231205,82.682518,77.195129,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.900732,98.000000,0.000000,11.438948,55.002506,68.115074,54.908203,61.172962,62.564407,59.022648,58.959118,57.996956,38.577236,41.985420,21.849888,26.339901,-15.565023,-14.041916,-32.802795,23.048950,23.667915,-6.118836,-47.018845,-23.405867,-40.381416,-23.495272,4.673274,50.979507,45.219078,48.750301,41.158501,79.161667,-8.709153,83.625481,76.605110,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.908381,99.000000,0.000000,11.427509,58.537247,84.970032,64.596886,70.342560,69.168510,59.989265,68.643745,63.067162,46.743786,61.430614,25.930603,47.339203,15.219772,13.664434,-9.693068,32.256672,33.387836,15.938564,-26.459005,-4.920922,-26.494883,-15.266648,3.642960,54.518272,44.661037,48.188728,41.117340,82.672249,-5.623521,88.670059,77.554146,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.916129,100.000000,0.000000,13.980185,60.017174,86.423523,65.045113,75.400421,72.176262,59.416454,76.267410,60.439991,52.338066,79.317902,39.238007,71.394424,33.666092,43.394360,23.137138,50.685955,60.533936,43.614933,-4.381265,27.904512,-1.853003,-0.379587,11.331624,63.694523,44.616379,51.217464,40.563404,81.563942,-1.515333,90.632668,79.527878,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.923778,101.000000,0.000000,16.530306,59.957157,70.439667,58.826218,72.760918,72.104088,59.869858,78.242424,61.405193,53.311371,85.392426,52.532101,75.938416,34.658066,54.633015,39.524258,64.994240,77.396477,62.032856,17.674398,47.876606,30.969362,5.774639,30.807472,70.297493,44.571762,54.755989,41.035660,77.379814,-2.539459,85.413834,76.371422,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.931527,102.000000,0.000000,14.975315,57.845917,60.112816,57.228931,68.585594,70.493523,58.784348,72.523155,60.318146,52.745239,74.024986,46.838543,59.452221,31.546486,45.860435,28.715502,64.929245,75.267799,61.458004,20.733646,48.341553,35.553780,3.204762,41.033073,70.227196,44.527187,55.726875,41.507446,73.712685,-7.152304,82.251495,72.192490,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.939176,103.000000,0.000000,15.985980,55.736790,60.565525,58.197342,66.465729,65.294823,56.161461,65.783966,57.180904,50.128391,60.617626,37.560936,51.187641,28.438015,38.122265,27.661146,62.813038,75.192535,57.806801,15.071888,49.831673,24.236174,3.201557,35.863838,70.669792,45.508301,58.235252,39.927475,73.126152,-9.709254,83.194885,72.633118,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.946925,104.000000,0.000000,21.611019,55.681053,60.504959,57.626324,65.886436,60.101326,55.079659,66.743828,57.123726,49.052620,55.428802,38.549015,47.033890,23.794193,39.109787,29.684767,64.801506,78.707085,60.313099,15.569636,48.243378,27.288860,5.762458,36.853615,71.624763,45.462795,63.305222,42.451653,74.078667,-9.186725,80.034767,72.047661,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
1614943978.954574,105.000000,0.000000,21.076588,55.625370,59.418812,57.568699,66.333374,59.528404,56.050220,62.574520,56.040962,48.490749,43.578503,29.792519,27.499676,11.462707,25.224522,8.116620,50.377728,68.371971,53.073299,5.297657,31.272058,17.005161,1.654132,41.944965,67.963394,43.878868,63.241917,48.050224,74.004593,-8.664718,75.339348,69.411514,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,83.333336
