title:17, start timestamp:1614944210.106345, stop timestamp:1614944255.647376, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:£ó17, channels:75, sampling rate:128, samples:5876      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.AF3,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO3,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO4,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.AF4,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.AF3,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO3,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO4,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.AF4,CQ.Fp2,CQ.Overall
1614944210.106345,115.000000,0.000000,3.016148,-0.431459,43.148670,-3.198211,26.353220,0.890909,11.032495,9.813559,19.921045,46.629856,-3.148533,-22.158165,-43.740433,-192.341965,-80.701317,-3.180203,-24.195543,3.550930,-30.165068,-65.098778,-72.743279,-142.981964,-22.841473,-12.785170,25.900785,6.632752,25.887602,28.435070,29.366238,36.085197,31.736736,21.543798,8064.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.114194,116.000000,0.000000,2.500311,-4.533592,41.567062,-2.682193,20.173021,-0.135623,13.072744,5.701181,17.337021,44.531944,-18.017179,-29.315495,-62.158230,-224.457321,-107.800102,-20.100100,-24.684168,-13.375698,-41.929775,-72.213165,-79.850021,-134.121033,-25.895555,-13.285205,11.515911,7.138940,24.323252,24.304071,30.362513,22.202961,32.730640,21.009434,8064.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.121943,117.000000,0.000000,3.010632,-4.016238,38.448570,-2.679511,16.050283,0.890154,16.649416,2.105736,16.806864,42.948952,-20.050444,-30.824640,-67.224274,-241.155945,-117.435890,-22.644102,-10.300508,-14.387963,-27.528872,-52.653770,-58.744526,-101.166405,-19.715813,-13.271919,14.068498,7.131802,25.324570,26.843870,29.819330,5.257680,30.646627,15.860220,8064.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.129792,118.000000,0.000000,3.007621,-6.576324,27.640892,-8.317857,11.418849,0.376443,14.068664,2.616451,15.764416,54.188053,-8.748343,-25.152790,-44.592949,-238.350677,-100.395378,-18.518894,8.684151,-9.245370,2.755069,-27.472914,-40.224243,-72.347290,-15.080712,-9.668904,18.156994,0.458003,25.812065,25.791386,18.507460,-4.491167,21.385212,-3.642820,8064.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.137540,119.000000,0.000000,3.004613,-14.262055,17.356840,-14.463385,7.817686,-0.136754,18.157160,9.280501,13.697370,86.954376,21.516817,-5.127636,-11.727844,-205.291824,-67.474472,14.320138,22.008801,15.379260,21.726673,-12.060825,-31.978891,-57.915966,-13.527170,-5.556671,5.831144,-5.183481,24.247793,21.150209,10.283824,-8.076420,15.722801,-20.049433,7936.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.145389,120.000000,0.000000,3.001609,-16.299076,20.416407,-14.961742,7.809868,0.376204,23.267206,15.425067,12.658031,105.328964,47.136326,10.774927,12.386448,-172.266022,-34.586487,47.126331,26.089355,45.107471,27.858791,-5.382098,-16.049477,-53.755489,-10.949540,-5.551115,2.748390,-4.665477,22.685083,25.744444,17.965847,-5.504241,16.732719,-15.414000,8064.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.153138,121.000000,0.000000,2.998607,-13.205853,32.190861,-11.357037,8.314879,0.375827,21.192657,17.460924,14.183834,85.223633,46.063549,8.712870,15.963805,-142.350159,-33.013439,52.207409,27.601727,59.934158,48.856575,7.443798,9.607597,-50.624809,-8.887309,1.121103,21.207180,-3.635170,24.713680,31.872545,28.204292,12.962802,19.280090,-1.039611,8064.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.160987,122.000000,0.000000,2.995609,-11.654186,40.876621,-7.755936,7.793744,0.375452,20.145824,16.930643,16.220932,74.369179,38.837997,5.627234,16.973482,-140.669342,-42.211193,34.719303,28.086946,77.310120,70.346176,27.436354,22.418503,-49.548542,-8.878422,12.914854,43.750076,-4.144356,25.714607,29.276569,30.227369,29.872915,20.799271,8.192198,8192.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.168736,123.000000,0.000000,2.992613,-9.591249,41.348564,-6.209719,8.298771,-0.137744,19.612858,17.426533,17.230352,79.935837,40.337620,5.621607,17.469330,-141.041504,-31.399752,50.069199,21.905012,93.643066,64.121986,27.921738,16.242239,-60.781044,-9.382364,13.414760,50.372993,-4.653032,23.637611,26.683191,29.684322,22.663555,20.265652,8.696826,8192.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
1614944210.176584,124.000000,0.000000,2.989620,-5.479094,40.281574,-6.716330,8.290472,1.400855,17.029142,17.409105,17.213121,80.881538,36.194717,-1.050681,8.733912,-139.362000,-28.291428,60.788361,11.626698,81.241730,47.134789,5.842534,8.020867,-79.181801,-11.937084,6.221858,34.425182,-3.109917,21.049870,28.194969,30.167458,12.384482,20.758205,7.662488,8064.000000,0.000000,4.000000,,,,0.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,66.666664
