title:9, start timestamp:1615771711.011086, stop timestamp:1615771756.807764, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s19, channels:75, sampling rate:128, samples:5911      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.AF3,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO3,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO4,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.AF4,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.AF3,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO3,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO4,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.AF4,CQ.Fp2,CQ.Overall
1615771711.011086,62.000000,0.000000,-6.746125,3.715349,-0.952667,23.245226,0.223209,-2.563756,1.405167,4.905015,2.738063,-1.127878,-3.571519,-2.218955,2.841632,-1.150875,-11.816995,1.011227,-6.061293,-4.765074,-1.447326,-6.422054,-12.696995,-1.142878,-0.770710,11.027421,5.849785,2.447495,7.427674,7.698339,14.265685,11.288862,20.118578,-6.221004,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.018935,63.000000,0.000000,-6.739379,4.224454,-0.951714,23.221981,-1.315476,-2.561192,1.403762,4.900109,3.248146,-1.126750,-4.080768,-2.729556,3.351611,-0.124083,-10.779537,3.061498,-7.593693,-12.452617,-6.061264,-9.492555,-22.427887,-7.808402,-3.334041,6.913830,3.279832,-5.760081,5.368965,8.203462,14.251419,11.277574,20.098461,-6.214783,8064.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.026685,64.000000,0.000000,-6.732639,2.681768,-0.437942,23.198759,-3.365442,-2.558631,1.402358,5.408030,3.244897,-0.612803,-3.563867,-2.726827,2.322618,-0.123959,-10.255937,6.648180,-7.073279,-6.286318,-5.029562,-8.457421,-15.738792,-8.826235,-3.843528,3.829993,3.276552,-6.779962,5.876416,7.682438,14.237168,11.266295,20.078362,-6.208569,0.000000,191.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.034534,65.000000,0.000000,-6.725907,0.627804,-0.950325,23.175560,-5.413359,-2.556072,1.400955,4.376981,3.241652,-0.612190,-3.560303,-2.211279,3.345937,-1.149476,-11.271322,8.179994,-7.066206,-0.126185,-3.998891,-8.961784,-6.492285,-7.278947,-3.326864,4.338983,3.786097,6.560151,5.870540,5.623473,14.222931,11.255030,20.058283,-6.202360,0.000000,199.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.042283,66.000000,0.000000,-6.719181,0.627176,-0.436554,23.152384,-7.459228,-2.553516,1.399554,1.808501,3.238411,-0.611578,-3.556743,-2.209068,3.855411,-0.122686,-10.747231,12.787198,-4.495037,-0.126059,-1.943610,-5.875900,-8.024254,-8.297309,-3.323537,4.847465,-0.320254,3.989488,5.864669,4.079388,14.208708,11.243774,20.038225,-5.683337,0.000000,197.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.049933,67.000000,0.000000,-6.712462,0.626549,-0.948938,23.642052,-6.938948,-2.550963,1.398155,0.781052,3.235173,-0.610967,-3.553186,-2.206859,-1.789470,0.903078,-10.223662,10.210308,-5.003363,-0.125933,-0.403205,-0.741819,-9.041871,-8.289012,-3.320213,3.304156,-4.422498,-20.117065,5.858804,3.562488,12.143217,11.232531,20.018187,-6.703295,0.000000,183.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.057682,68.000000,0.000000,-6.705749,0.625923,-5.050553,22.079948,-7.957650,-2.548412,1.396757,1.293091,3.231937,-0.097535,-3.036812,-2.204652,-7.941526,-2.687569,-10.726259,7.635995,-9.613744,1.412655,-0.402802,-2.279538,-6.981547,-7.767902,-3.316893,0.736749,-4.418075,-19.584127,5.852946,1.507644,10.592612,11.221298,19.998169,-8.747873,0.000000,200.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.065331,69.000000,0.000000,-6.699043,0.625297,-8.635246,18.468126,-11.539435,-2.545863,0.882539,1.804619,3.228705,-0.097438,-3.546596,-2.202447,-8.959226,-3.197701,-8.664251,15.833488,-8.065668,0.898421,2.674524,-3.302900,-7.487386,-7.247313,-3.313576,0.223192,-3.900836,4.538021,5.847093,-0.032325,10.069200,11.210076,19.978170,-10.277587,0.000000,192.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.073081,70.000000,0.000000,-4.641062,0.624671,-8.626611,15.885554,-9.989435,-2.543317,1.907298,0.777173,3.225477,-1.122981,-3.030229,-2.200245,-7.411805,4.497804,-4.553022,20.945860,-3.442218,0.384702,5.748773,1.828608,-7.479898,-7.752887,-3.310263,0.735789,-4.409756,5.559124,5.841246,0.480527,10.571951,11.198867,19.958193,-9.754489,0.000000,180.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1615771711.080730,71.000000,0.000000,-2.585139,0.624047,-8.105164,14.844028,-5.364061,-2.540774,4.469493,1.289216,3.735072,0.416603,-3.027199,-2.198045,-8.430035,7.057409,-1.984367,22.463375,-2.413135,0.384318,6.768665,3.878062,-7.472418,-7.745134,-2.794132,0.735053,-4.405346,-11.882333,5.835404,0.480047,10.561378,11.187668,19.938234,-9.744735,0.000000,208.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
