title:3, start timestamp:1614043055.947557, stop timestamp:1614043101.859594, headset type:EPOCFLEX, headset serial:F00001ED, headset firmware:f12, subject name:s06, channels:75, sampling rate:128, samples:5920      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.Cz,EEG.Fz,EEG.Fp1,EEG.AF3,EEG.F7,EEG.F3,EEG.FC1,EEG.C3,EEG.FC5,EEG.T7,EEG.CP5,EEG.CP1,EEG.P3,EEG.P7,EEG.PO3,EEG.O1,EEG.Pz,EEG.Oz,EEG.O2,EEG.PO4,EEG.P8,EEG.P4,EEG.CP2,EEG.CP6,EEG.T8,EEG.FC6,EEG.C4,EEG.FC2,EEG.F4,EEG.F8,EEG.AF4,EEG.Fp2,EEG.HighBitFlex,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.Cz,CQ.Fz,CQ.Fp1,CQ.AF3,CQ.F7,CQ.F3,CQ.FC1,CQ.C3,CQ.FC5,CQ.T7,CQ.CP5,CQ.CP1,CQ.P3,CQ.P7,CQ.PO3,CQ.O1,CQ.Pz,CQ.Oz,CQ.O2,CQ.PO4,CQ.P8,CQ.P4,CQ.CP2,CQ.CP6,CQ.T8,CQ.FC6,CQ.C4,CQ.FC2,CQ.F4,CQ.F8,CQ.AF4,CQ.Fp2,CQ.Overall
1614043055.947557,62.000000,0.000000,-156.441284,123.473801,142.062729,448.717224,-6.759102,149.931580,172.594833,28.270054,369.420319,-93.094559,-115.830452,-178.750580,-146.482330,-166.676239,-58.520657,78.130363,-102.719833,123.212578,28.596216,-129.886444,-125.633209,-159.906754,-167.132416,-115.864189,-131.796997,-67.946800,-85.090057,102.868317,143.762451,275.417755,-15.380961,-107.455849,7680.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043055.955406,63.000000,0.000000,-156.284851,116.683662,143.459122,449.294159,-11.880548,147.217545,164.217117,32.344349,372.127808,-107.873260,-116.740265,-178.571823,-152.489685,-179.842896,-68.205727,51.898384,-104.668396,100.525261,8.567620,-135.397583,-133.199890,-160.259659,-165.426819,-116.773972,-132.178024,-69.930138,-84.492149,102.765450,143.618683,276.680817,-20.493786,-114.015060,7808.000000,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043055.963156,64.000000,0.000000,-156.128555,116.566978,142.290024,447.819214,-13.919950,146.044693,151.745209,26.670979,368.678772,-102.124359,-123.290192,-177.880432,-167.209000,-178.124603,-82.496490,31.846485,-106.615005,68.117050,-19.133255,-155.775009,-149.989761,-168.304535,-166.287033,-117.170013,-133.071487,-69.347389,-84.407654,97.021660,138.859680,275.378479,-18.934830,-103.131813,0.000000,192.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043055.971005,65.000000,0.000000,-155.972427,117.476051,142.147736,447.371399,-14.418850,142.308899,149.542175,24.080204,359.079315,-102.022232,-119.577156,-177.702545,-166.528961,-177.946472,-83.439636,35.917202,-103.431465,61.382263,-32.447456,-174.080780,-166.762848,-178.905457,-165.095108,-117.052841,-130.887131,-68.252403,-87.912994,91.283615,135.131073,275.103119,-19.428717,-97.387657,0.000000,164.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043055.978754,66.000000,0.000000,-155.816452,116.845757,143.544052,448.975311,-20.045458,138.064026,151.443924,25.081766,355.130493,-103.971497,-121.508865,-180.601776,-163.798325,-182.383911,-88.484406,27.163338,-108.969063,57.218315,-40.107315,-192.881058,-186.083267,-195.136810,-169.545395,-119.499893,-132.807526,-69.209785,-91.414825,90.679512,134.995941,276.366455,-19.409286,-100.367195,0.000000,215.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043055.986404,67.000000,0.000000,-155.147827,114.164810,140.323578,443.398132,-25.153616,135.874680,147.702728,16.338736,354.262543,-100.277779,-133.182220,-185.549377,-175.429398,-185.791275,-109.934380,-3.633057,-131.424194,28.955971,-48.272335,-220.893295,-213.076675,-213.916031,-177.580978,-133.739365,-141.905487,-77.858528,-94.913155,87.511909,130.758377,271.987549,-18.877058,-102.318108,0.000000,186.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043055.994153,68.000000,0.000000,-157.043961,109.948082,140.183258,439.364990,-21.025900,135.225983,140.888367,8.117268,348.780060,-98.126221,-125.869560,-187.415100,-180.382187,-185.605484,-115.978294,-9.270450,-146.164566,14.568040,-49.762524,-238.108307,-222.607178,-222.932877,-182.018784,-156.682556,-141.763580,-84.447334,-98.920807,80.244904,123.960960,268.125793,-20.396643,-102.215790,0.000000,184.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043056.001802,69.000000,0.000000,-155.861267,109.325310,149.786667,452.771759,-13.825386,136.116394,138.696198,18.365561,354.585144,-99.053734,-103.179581,-185.689224,-165.330002,-165.419876,-91.759750,20.482410,-134.223526,36.604755,-58.943531,-231.716354,-212.640991,-222.197128,-182.349579,-163.192535,-128.288483,-78.721863,-99.847527,78.113380,122.811356,269.396149,-22.427526,-98.011009,0.000000,200.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043056.009551,70.000000,0.000000,-150.064377,109.728806,155.277908,466.677979,-12.785919,138.544388,140.095963,30.142067,373.717743,-99.467499,-95.384094,-184.990723,-152.856979,-142.177536,-77.309013,37.385006,-121.781616,52.978405,-70.166641,-218.151291,-200.633469,-212.231339,-179.603134,-149.183197,-123.031998,-71.976471,-101.286140,80.086548,123.201363,271.690857,-22.405100,-93.297615,0.000000,222.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
1614043056.017200,71.000000,0.000000,-148.375854,109.619080,148.455963,456.980530,-14.824415,139.431488,139.955856,28.060642,378.985046,-96.291115,-95.288712,-187.369827,-150.652847,-145.625092,-79.282990,31.706594,-121.659836,54.976707,-37.275959,-192.804947,-169.663605,-185.865265,-172.756866,-139.803238,-126.498711,-72.417320,-99.133568,79.493645,118.462776,269.880707,-21.357054,-95.255600,0.000000,196.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000
